solvent_smiles,Boiling Point,Molecular Weight,XLogP3,Hydrogen Bond Donor Count,Hydrogen Bond Acceptor Count,Rotatable Bond Count,Exact Mass,Monoisotopic Mass,Topological Polar Surface Area,Heavy Atom Count,Complexity
COCC(C)OC(C)=O,145.5,132.16,0.4,0,3,4,132.08,132.08,35.5,9,90.3
COCC(C)O,120,90.12,-0.2,1,2,2,90.07,90.07,29.5,6,28.7
CCCCOCC(C)O,171,132.2,1.1,1,2,5,132.12,132.12,29.5,9,54.9
CCCOCC(C)O,150.2,118.17,0.7,1,2,4,118.1,118.1,29.5,8,45.8
CC(O)COc1ccccc1,241.2,152.19,1.7,1,2,3,152.08,152.08,29.5,11,97.7
COCC(C)OCC(C)OCC(C)O,275,206.28,0.4,1,4,8,206.15,206.15,47.9,14,129
CCCCOCC(C)OCC(C)OCC(C)O,285,248.36,1.6,1,4,11,248.2,248.2,47.9,17,163
COCC(C)OCC(C)O,90.5,148.2,-0.1,1,3,5,148.11,148.11,38.7,10,75.3
COCC(C)OCC(C)OC(C)=O,200,190.24,0.7,0,4,7,190.12,190.12,44.8,13,147
CCCCOCC(C)OCC(C)O,200,190.28,1.4,1,3,8,190.16,190.16,38.7,13,106
CCCCC(CC)CO,184.3,130.23,3.1,1,1,5,130.14,130.14,20.2,9,52.5
CCC(C)CO,128,88.15,1.2,1,1,2,88.09,88.09,20.2,6,27.1
CC(C)CC(C)O,132,102.17,1.7,1,1,2,102.1,102.1,20.2,7,41.4
CCCOC(=O)CC,123,116.16,1.7,0,2,4,116.08,116.08,26.3,8,68.9
CCOCCC(=O)OCC,168.5,146.18,0.6,0,3,6,146.09,146.09,35.5,10,90.9
CC(C)C(=O)OCC(C)(C)C(O)C(C)C,257.5,216.32,3.1,1,3,6,216.17,216.17,46.5,15,207
CCCCCOC(=O)CC,168.8,144.21,2.4,0,2,6,144.12,144.12,26.3,10,89.3
CCCCOCCOCCOCCO,278,206.28,0.4,1,4,11,206.15,206.15,47.9,14,98.1
CC(=O)OCC(COC(C)=O)OC(C)=O,258.5,218.2,0.2,0,6,8,218.08,218.08,78.9,15,229
C[Si](C)(C)C,26.6,88.22,2.8,0,0,0,88.07,88.07,0,5,19.1
CC=C(C)C,38,70.13,2.3,0,0,0,70.08,70.08,0,5,38
CCCCCCCCCCCC,216.3,170.33,6.1,0,0,9,170.2,170.2,0,12,56.4
Cc1cccc(C)c1,139.1,106.16,3.2,0,0,0,106.08,106.08,0,8,58.4
C=Cc1ccccc1,145.3,104.15,2.9,0,0,1,104.06,104.06,0,8,68.1
CCCCCCCCO,194.7,130.23,3,1,1,6,130.14,130.14,20.2,9,43.8
CCCCCCCCCCO,229,158.28,4.6,1,1,8,158.17,158.17,20.2,11,61.9
OCCc1ccccc1,219,122.16,1.4,1,1,2,122.07,122.07,20.2,9,65
OCCCc1ccccc1,241,136.19,1.9,1,1,3,136.09,136.09,20.2,10,74.8
C=CCO,96.9,58.08,0.2,1,1,1,58.04,58.04,20.2,4,17.2
OCCCl,129,80.51,-0.1,1,1,1,80,80,20.2,4,10
Oc1ccccc1,182,94.11,1.5,1,1,0,94.04,94.04,20.2,7,46.1
Cc1cccc(O)c1,202.2,108.14,2,1,1,0,108.06,108.06,20.2,8,70.8
Cc1ccc(O)cc1,201.9,108.14,1.9,1,1,0,108.06,108.06,20.2,8,62.8
Oc1cccc(Cl)c1,214,128.55,2.5,1,1,0,128,128,20.2,8,74.9
